,tair,t_heat_sp,t_heat_vip,t_slab1,tout
529,22.9,22.9,22.9,22.9,7.000000013
530,22.9,22.8,22.8,22.9,7.0
531,22.8,22.7,22.7,22.8,7.0
532,22.8,22.6,22.6,22.8,6.999999993
533,22.8,22.5,22.5,22.8,6.900000013
534,22.7,22.4,22.4,22.8,6.9
535,22.6,22.3,22.3,22.8,6.800000003
536,22.6,22.2,22.2,22.7,6.8
537,22.6,22.1,22.1,22.7,6.80000001
538,22.6,22.0,22.0,22.6,6.899999987
539,22.6,21.9,21.9,22.6,6.9
540,22.4,21.8,21.8,22.6,6.9
541,22.5,21.7,21.7,22.6,6.900000007
542,22.4,21.6,21.6,22.6,6.999999987
543,22.4,21.5,21.5,22.6,6.90000001
544,22.4,21.4,21.4,22.6,6.999999997
545,22.4,21.3,21.3,22.6,7.100000003
546,22.5,21.2,21.2,22.6,7.2
547,22.4,21.1,21.1,22.5,7.2
548,22.3,21.0,21.0,22.5,7.100000007
549,22.4,20.9,20.9,22.4,7.2
550,22.4,20.8,20.8,22.4,7.1
551,22.3,20.7,20.7,22.4,7.1
552,22.3,20.6,20.6,22.4,7.1
553,22.4,20.5,20.5,22.4,7.000000003
554,22.3,20.4,20.4,22.4,6.900000003
555,22.2,20.3,20.3,22.4,6.99999999
556,22.3,20.2,20.2,22.4,6.900000013
557,22.3,21.1,20.1,22.4,6.9
558,22.2,21.1,20.0,22.4,6.9
559,22.2,21.1,20.0,22.3,6.899999993
560,22.2,21.1,20.0,22.3,6.800000013
561,22.2,21.1,20.0,22.3,6.89999999
562,22.0,21.1,20.0,22.3,6.999999997
563,21.5,21.1,20.0,22.2,6.999999993
564,21.1,21.1,20.0,22.2,6.80000001
565,21.0,21.1,20.0,22.2,6.899999987
566,20.7,21.1,20.0,22.1,6.9
567,20.4,21.1,20.0,22.1,6.9
568,20.0,21.1,20.0,22.1,6.800000013
569,19.8,21.1,20.0,22.0,6.999999973
570,19.7,21.1,20.0,21.9,7.09999999
571,19.6,21.1,20.0,21.9,7.000000003
572,19.5,21.1,20.0,21.9,7.000000003
573,19.5,21.1,20.0,21.9,7.09999999
574,19.5,21.1,20.0,21.9,7.000000013
575,19.4,21.1,20.0,21.8,7.0
